 OPERATION  REAL TIME  USER TIME SYSTEM TIME           ADDITIONAL INFO
    create   0.000000   0.000000   0.000000               40 elements
     count   0.000000   0.000000   0.000000                     1.txt
      save   0.000000   0.000000   0.000000                     1.txt
     count   0.000000   0.000000   0.000000                     2.txt
      save   0.000000   0.000000   0.000000                     2.txt
     count   0.000001   0.000000   0.000000                     3.txt
      save   0.000000   0.000000   0.000000                     3.txt
     count   0.000000   0.000000   0.000000                     4.txt
      save   0.000000   0.000000   0.000000                     4.txt
     count   0.000000   0.000000   0.000000                     5.txt
      save   0.000000   0.000000   0.000000                     5.txt
     count   0.000000   0.000000   0.000000                     6.txt
      save   0.000000   0.000000   0.000000                     6.txt
     count   0.000000   0.000000   0.000000                     7.txt
      save   0.000000   0.000000   0.000000                     7.txt
     count   0.000000   0.000000   0.000000                     8.txt
      save   0.000000   0.000000   0.000000                     8.txt
     count   0.000000   0.000000   0.000000                     9.txt
      save   0.000000   0.000000   0.000000                     9.txt
     count   0.000000   0.000000   0.000000                    10.txt
      save   0.000000   0.000000   0.000000                    10.txt
     count   0.000000   0.000000   0.000000                    20.txt
      save   0.000000   0.000000   0.000000                    20.txt
     count   0.000000   0.000000   0.000000                    30.txt
      save   0.000000   0.000000   0.000000                    30.txt
     count   0.000000   0.000000   0.000000                    40.txt
      save   0.000000   0.000000   0.000000                    40.txt
     count   0.000000   0.000000   0.000000                    50.txt
      save   0.000000   0.000000   0.000000                    50.txt
     count   0.000000   0.000000   0.000000                    60.txt
      save   0.000000   0.000000   0.000000                    60.txt
     count   0.000000   0.000000   0.000000                    70.txt
      save   0.000000   0.000000   0.000000                    70.txt
     count   0.000000   0.000000   0.000000                    80.txt
      save   0.000000   0.000000   0.000000                    80.txt
     count   0.000000   0.000000   0.000000                    90.txt
      save   0.000000   0.000000   0.000000                    90.txt
     count   0.000000   0.000000   0.000000                   100.txt
      save   0.000000   0.000000   0.000000                   100.txt
    remove   0.000000   0.000000   0.000000                   index 0
    remove   0.000000   0.000000   0.000000                   index 1
    remove   0.000000   0.000000   0.000000                   index 2
    remove   0.000000   0.000000   0.000000                   index 3
    remove   0.000000   0.000000   0.000000                   index 4
     count   0.000000   0.000001   0.000000                  1000.txt
      save   0.000000   0.000000   0.000000                  1000.txt
     count   0.000002   0.000002   0.000000                  2000.txt
      save   0.000000   0.000000   0.000000                  2000.txt
     count   0.000005   0.000004   0.000000                  3000.txt
      save   0.000000   0.000000   0.000000                  3000.txt
     count   0.000007   0.000007   0.000000                  4000.txt
      save   0.000000   0.000000   0.000000                  4000.txt
     count   0.000012   0.000012   0.000000                  5000.txt
      save   0.000000   0.000000   0.000000                  5000.txt
     count   0.000016   0.000015   0.000001                  6000.txt
      save   0.000000   0.000000   0.000000                  6000.txt
     count   0.000024   0.000022   0.000001                  7000.txt
      save   0.000000   0.000000   0.000000                  7000.txt
     count   0.000029   0.000030   0.000000                  8000.txt
      save   0.000000   0.000000   0.000000                  8000.txt
     count   0.000038   0.000034   0.000003                  9000.txt
      save   0.000000   0.000000   0.000000                  9000.txt
     count   0.000047   0.000044   0.000003                 10000.txt
      save   0.000000   0.000000   0.000000                 10000.txt
     count   0.000056   0.000052   0.000005                 11000.txt
      save   0.000000   0.000000   0.000000                 11000.txt
     count   0.000067   0.000065   0.000002                 12000.txt
      save   0.000000   0.000000   0.000000                 12000.txt
     count   0.000079   0.000075   0.000003                 13000.txt
      save   0.000000   0.000000   0.000000                 13000.txt
     count   0.000091   0.000087   0.000005                 14000.txt
      save   0.000000   0.000000   0.000000                 14000.txt
     count   0.000105   0.000100   0.000004                 15000.txt
      save   0.000000   0.000000   0.000000                 15000.txt

Arguments used: 

   OPERATION REAL_TIME[s] USER_TIME[s] SYSTEM_TIME[s]           ADDITIONAL_INFO
      create     0.000018     0.000000     0.000000               40 elements
       count     0.000119     0.000000     0.000000                     1.txt
        save     0.000023     0.000000     0.000000                     1.txt
       count     0.000071     0.000000     0.000000                     2.txt
        save     0.000026     0.000000     0.000000                     2.txt
       count     0.000067     0.000000     0.000000                     3.txt
        save     0.000020     0.000000     0.000000                     3.txt
       count     0.000065     0.000000     0.000000                     4.txt
        save     0.000020     0.000000     0.000000                     4.txt
       count     0.000064     0.000000     0.000000                     5.txt
        save     0.000019     0.000000     0.000000                     5.txt
       count     0.000066     0.000000     0.000000                     6.txt
        save     0.000019     0.000000     0.000000                     6.txt
       count     0.000069     0.000000     0.000000                     7.txt
        save     0.000020     0.000000     0.000000                     7.txt
       count     0.000066     0.000000     0.000000                     8.txt
        save     0.000019     0.000000     0.000000                     8.txt
       count     0.000064     0.000000     0.000000                     9.txt
        save     0.000019     0.000000     0.000000                     9.txt
       count     0.000068     0.000000     0.000000                    10.txt
        save     0.000020     0.000000     0.000000                    10.txt
       count     0.000069     0.000000     0.000000                    20.txt
        save     0.000020     0.000000     0.000000                    20.txt
       count     0.000073     0.000000     0.000000                    30.txt
        save     0.000019     0.000000     0.000000                    30.txt
       count     0.000079     0.000000     0.000000                    40.txt
        save     0.000019     0.000000     0.000000                    40.txt
       count     0.000088     0.000000     0.000000                    50.txt
        save     0.000019     0.000000     0.000000                    50.txt
       count     0.000096     0.000000     0.000000                    60.txt
        save     0.000019     0.000000     0.000000                    60.txt
       count     0.000107     0.000000     0.000000                    70.txt
        save     0.000019     0.000000     0.000000                    70.txt
       count     0.000120     0.000000     0.000000                    80.txt
        save     0.000019     0.000000     0.000000                    80.txt
       count     0.000136     0.000000     0.000000                    90.txt
        save     0.000019     0.000000     0.000000                    90.txt
       count     0.000153     0.000000     0.000000                   100.txt
        save     0.000019     0.000000     0.000000                   100.txt
      remove     0.000005     0.000000     0.000000                   index 0
      remove     0.000003     0.000000     0.000000                   index 1
      remove     0.000003     0.000000     0.000000                   index 2
      remove     0.000003     0.000000     0.000000                   index 3
      remove     0.000003     0.000000     0.000000                   index 4
       count     0.007271     0.000000     0.000000                  1000.txt
        save     0.000014     0.000000     0.000000                  1000.txt
       count     0.019898     0.000002     0.000000                  2000.txt
        save     0.000014     0.000000     0.000000                  2000.txt
       count     0.041752     0.000004     0.000000                  3000.txt
        save     0.000015     0.000000     0.000000                  3000.txt
       count     0.073991     0.000006     0.000001                  4000.txt
        save     0.000016     0.000000     0.000000                  4000.txt
       count     0.115379     0.000011     0.000001                  5000.txt
        save     0.000017     0.000000     0.000000                  5000.txt
       count     0.166029     0.000015     0.000002                  6000.txt
        save     0.000017     0.000000     0.000000                  6000.txt
       count     0.225844     0.000022     0.000001                  7000.txt
        save     0.000017     0.000000     0.000000                  7000.txt
       count     0.294664     0.000029     0.000000                  8000.txt
        save     0.000017     0.000000     0.000000                  8000.txt
       count     0.372757     0.000037     0.000000                  9000.txt
        save     0.000016     0.000000     0.000000                  9000.txt
       count     0.460670     0.000044     0.000002                 10000.txt
        save     0.000016     0.000000     0.000000                 10000.txt
       count     0.557149     0.000053     0.000002                 11000.txt
        save     0.000017     0.000000     0.000000                 11000.txt
       count     0.663249     0.000065     0.000002                 12000.txt
        save     0.000017     0.000000     0.000000                 12000.txt
       count     0.778045     0.000076     0.000002                 13000.txt
        save     0.000016     0.000000     0.000000                 13000.txt
       count     0.900187     0.000084     0.000006                 14000.txt
        save     0.000018     0.000000     0.000000                 14000.txt
       count     1.034640     0.000100     0.000003                 15000.txt
        save     0.000018     0.000000     0.000000                 15000.txt

Arguments used: 

