Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000021   0.000000   0.000000               20 elements
     count   0.261500   0.000023   0.000002                 10000.txt
      save   0.000017   0.000000   0.000000                 10000.txt
     count   0.310412   0.000027   0.000004                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.369639   0.000034   0.000003                 12000.txt
      save   0.000016   0.000000   0.000000                 12000.txt
     count   0.434332   0.000039   0.000005                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.507956   0.000047   0.000004                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.584582   0.000053   0.000005                 15000.txt
      save   0.000016   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.264854   0.000025   0.000002                 10000.txt
      save   0.000036   0.000000   0.000000                 10000.txt
     count   0.315301   0.000027   0.000004                 11000.txt
      save   0.000022   0.000000   0.000000                 11000.txt
     count   0.377556   0.000035   0.000003                 12000.txt
      save   0.000040   0.000000   0.000000                 12000.txt
     count   0.446031   0.000042   0.000003                 13000.txt
      save   0.000097   0.000000   0.000000                 13000.txt
     count   0.506244   0.000045   0.000005                 14000.txt
      save   0.000109   0.000000   0.000000                 14000.txt
     count   0.586949   0.000053   0.000006                 15000.txt
      save   0.000043   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000027   0.000000   0.000000               20 elements
     count   0.263337   0.000024   0.000002                 10000.txt
      save   0.000021   0.000000   0.000000                 10000.txt
     count   0.311769   0.000029   0.000002                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.370891   0.000034   0.000003                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.435541   0.000040   0.000003                 13000.txt
      save   0.000018   0.000000   0.000000                 13000.txt
     count   0.504676   0.000045   0.000005                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.577932   0.000055   0.000003                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000001   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000001   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.259758   0.000025   0.000001                 10000.txt
      save   0.000039   0.000000   0.000000                 10000.txt
     count   0.318939   0.000030   0.000002                 11000.txt
      save   0.000023   0.000000   0.000000                 11000.txt
     count   0.373710   0.000035   0.000003                 12000.txt
      save   0.000028   0.000000   0.000000                 12000.txt
     count   0.440174   0.000038   0.000006                 13000.txt
      save   0.000023   0.000000   0.000000                 13000.txt
     count   0.508637   0.000045   0.000005                 14000.txt
      save   0.000023   0.000000   0.000000                 14000.txt
     count   0.582045   0.000053   0.000006                 15000.txt
      save   0.000039   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000027   0.000000   0.000000               20 elements
     count   0.257873   0.000024   0.000001                 10000.txt
